AddStaticVehicle(470,2044.7000000,-477.7999900,74.3000000,86.0000000,95,10); //Patriot
AddStaticVehicle(470,2037.6000000,-477.2999900,74.3000000,93.9950000,95,10); //Patriot
AddStaticVehicle(489,2016.2998000,-500.7002000,77.8000000,1.7500000,164,160); //Rancher
AddStaticVehicle(473,2099.8000000,-107.5000000,0.0000000,32.0000000,158,164); //Dinghy
AddStaticVehicle(473,2109.7000000,-107.1000000,0.0000000,125.9980000,158,164); //Dinghy
AddStaticVehicle(467,2155.8999000,-659.7000100,53.5000000,206.2810000,109,24); //Oceanic
AddStaticVehicle(400,2145.2000000,-648.2999900,57.0000000,216.0000000,34,25); //Landstalker
AddStaticVehicle(512,2171.7000000,-468.6000100,108.9000000,0.0000000,93,27); //Cropdust
AddStaticVehicle(487,2580.3999000,-654.5000000,136.6000100,0.0000000,165,169); //Maverick
AddStaticVehicle(479,2381.7000000,-653.9000200,127.5000000,0.0000000,156,156); //Regina
AddStaticVehicle(531,1530.6000000,-1.2000000,23.3000000,0.0000000,54,65); //Tractor
AddStaticVehicle(531,2342.7998000,-654.0000000,128.6000100,0.0000000,54,65); //Tractor
AddStaticVehicle(531,1518.3000000,34.7000000,24.6000000,260.0000000,54,65); //Tractor
AddStaticVehicle(404,1524.6000000,40.3000000,24.8000000,0.0000000,43,62); //Perrenial
AddStaticVehicle(404,1529.1000000,-319.2999900,7.3000000,262.0000000,82,86); //Perrenial
AddStaticVehicle(479,1912.3000000,-504.3999900,18.1000000,0.0000000,173,176); //Regina
AddStaticVehicle(473,1953.8000000,-253.0000000,0.0000000,0.0000000,158,164); //Dinghy
AddStaticVehicle(473,1943.2000000,-258.0000000,0.0000000,340.0000000,158,164); //Dinghy
AddStaticVehicle(500,2404.6006000,-306.0000000,24.6000000,93.9990000,32,32); //Mesa
AddStaticVehicle(599,2150.7000000,-69.3000000,4.3000000,0.0000000,-1,-1); //Police Ranger
AddStaticVehicle(436,2145.1001000,-58.6000000,4.5000000,342.0000000,57,90); //Previon
AddStaticVehicle(532,2142.6001000,-780.0000000,100.5000000,0.0000000,-1,-1); //Combine
AddStaticVehicle(431,2228.8999000,59.2000000,26.6000000,0.0000000,109,108); //Bus
AddStaticVehicle(466,2132.2000000,-357.6000100,67.5000000,104.0000000,93,27); //Glendale
AddStaticVehicle(466,2548.2000000,-403.2999900,78.8000000,103.9970000,93,27); //Glendale
AddStaticVehicle(579,2718.5000000,-728.7999900,78.1000000,0.0000000,124,28); //Huntley
AddStaticVehicle(514,2279.0000000,-307.6000100,45.3000000,118.0000000,34,25); //Tanker
AddStaticVehicle(450,2291.8000000,-300.8999900,45.5000000,120.0000000,245,245); //Trailer 2
AddStaticVehicle(493,1989.8000000,-42.0000000,0.5000000,0.0000000,37,37); //Jetmax
AddStaticVehicle(484,1588.2998000,-75.9003900,0.0000000,0.0000000,93,126); //Marquis
AddStaticVehicle(484,1592.3000000,-50.1000000,0.0000000,330.0000000,93,126); //Marquis
AddStaticVehicle(468,2001.3000000,-267.7999900,3.8000000,0.0000000,132,4); //Sanchez
AddStaticVehicle(468,2344.0000000,-525.2999900,120.8000000,0.0000000,132,4); //Sanchez
AddStaticVehicle(468,1837.7998000,-331.9003900,43.0000000,0.0000000,132,4); //Sanchez
AddStaticVehicle(468,1931.7002000,-568.4003900,23.0000000,0.0000000,132,4); //Sanchez
AddStaticVehicle(468,2537.8000000,-761.9000200,95.0000000,0.0000000,132,4); //Sanchez
AddStaticVehicle(532,2437.2000000,-861.0000000,106.8000000,0.0000000,-1,-1); //Combine
AddStaticVehicle(446,728.1595,-1495.2687,-0.4906,179.7909,1,5 ); // 
AddStaticVehicle(454,720.7040,-1633.3224,0.1487,177.6009,26,26 ); // 
AddStaticVehicle(454,720.5267,-1699.9827,0.1866,358.9251,26,26 ); // 
AddStaticVehicle(429,764.7679,-1660.5485,4.2160,94.0819,12,12 ); // 
AddStaticVehicle(541,688.0235,-1600.1552,13.7216,359.7577,58,8 ); // 
AddStaticVehicle(466,594.6932,-1519.6713,14.8586,178.9838,68,76 ); // 
AddStaticVehicle(458,601.2115,-1519.8091,14.8971,359.8546,101,1 ); // 
AddStaticVehicle(496,648.1077,-1507.8370,14.7836,88.3481,35,35 ); // 
AddStaticVehicle(429,729.7592,-1433.3433,13.2151,90.2927,13,13 ); // 
AddStaticVehicle(506,665.4387,-1421.5520,14.3497,1.6522,7,7 ); // 
AddStaticVehicle(506,587.3435,-1499.5959,15.0621,273.6347,6,6 ); // 
AddStaticVehicle(413,691.4462,-1570.2456,14.3358,179.2636,91,1 ); // 
AddStaticVehicle(451,489.1148,-1514.9581,20.0516,186.2239,46,46 ); // 
AddStaticVehicle(541,494.3372,-1604.7161,18.2000,275.6070,60,1 ); // 
AddStaticVehicle(603,259.4689,-1597.9203,33.1167,299.1694,69,1 ); // 
AddStaticVehicle(429,262.3868,-1603.2013,33.0642,323.2319,2,2 ); // 
AddStaticVehicle(518,258.0661,-1591.6113,33.1217,275.3944,36,36 ); // 
AddStaticVehicle(409,867.4957,-1285.9368,13.8859,357.4155,1,1 ); // 
AddStaticVehicle(457,844.4999,-1197.9865,16.6038,0.3980,2,1 ); // 
AddStaticVehicle(457,880.8410,-1199.7491,16.6031,357.7022,21,108 ); // 
AddStaticVehicle(457,914.7440,-1199.8364,16.6032,359.8655,106,56 ); // 
AddStaticVehicle(463,920.4453,-1290.5063,13.3508,118.6505,121,14 ); // 
AddStaticVehicle(542,863.2733,-1375.0151,13.3187,85.7265,32,92 ); // 
AddStaticVehicle(561,903.8953,-1454.9287,12.8651,270.7864,8,17 ); // 
AddStaticVehicle(429,881.5562,-1453.8588,13.3618,271.8305,99,93 ); // 
AddStaticVehicle(507,809.9615,-1448.9109,12.9680,87.2106,35,54 ); // 
AddStaticVehicle(589,810.5452,-1464.3678,12.7191,85.7123,134,97 ); // 
AddStaticVehicle(496,821.6033,-1473.7249,12.5756,357.5008,54,120 ); // 
AddStaticVehicle(461,1031.1113,-1446.3105,13.1411,59.0580,67,86 ); // 
AddStaticVehicle(418,1005.0084,-1461.3424,13.6427,183.0261,119,119 ); // 
AddStaticVehicle(463,990.1287,-1354.9878,12.9125,285.7227,65,6 ); // 
AddStaticVehicle(479,991.3929,-1345.2102,13.1759,271.1148,123,108 ); // 
AddStaticVehicle(489,990.5985,-1306.8129,13.5204,179.0488,24,6 ); // 
